event_class,type,start,window_h,n_pre,chi2,p_value,cramers_v,standing_frac,standing_delta,n_pre_moving,chi2_moving,p_value_moving,cramers_v_moving
maintenance,4-week-Revision,2024-09-23 05:15:24,72,19849,14.954815175616195,0.0018556724663720567,0.0031466779737206125,0.4693939241271601,-0.011795236266990305,10532.0,3.9506960969909817,0.13871302498063873,0.002245066426629727
maintenance,Door Revision,2024-10-20 01:59:05,24,3409,2442.087085981263,0.0,0.04043141471256405,0.9043707832208859,0.42318162282673555,326.0,13.94809576039961,0.0009358569913305656,0.004246155174662648
maintenance,Door Revision,2024-10-20 01:59:05,48,9681,449.0073083961084,5.349739106019675e-97,0.017300366711288387,0.5876459043487243,0.10645674395457394,3992.0,15.566462024643268,0.0004166637516828644,0.004475141485056367
maintenance,Door Revision,2024-10-20 01:59:05,72,16282,128.3520820763506,1.2251406858321646e-27,0.009229468238569325,0.5218646357941285,0.04067547539997807,7785.0,23.417830742381863,8.220205319301385e-06,0.005475554104900523
maintenance,Train Control Revision,2024-10-24 07:55:18,48,947,1020.3424820586221,6.953176492284236e-221,0.02615589039448082,1.0,0.5188108396058496,,,,
maintenance,Train Control Revision,2024-10-24 07:55:18,72,2860,3048.3068410560127,0.0,0.045180134488642124,0.9975524475524475,0.5163632871582972,,,,
maintenance,Spot Inspection,2024-10-31 07:12:23,24,4821,264.3341954269645,5.190500793521162e-57,0.01329565979208904,0.36652146857498447,-0.11466769181916592,3054.0,9.20219833530609,0.01004079316186603,0.0034428635681719422
maintenance,Spot Inspection,2024-10-31 07:12:23,48,11814,25.700535080159465,1.1018382553925953e-05,0.004136101226418879,0.500084645336042,0.018895484941891638,5906.0,9.270118064273793,0.009705534083021728,0.003449215985559979
maintenance,Spot Inspection,2024-10-31 07:12:23,72,14155,73.9444913317362,6.099710126598697e-16,0.007010272169467501,0.5146591310490992,0.03346997065494883,6870.0,11.773313459115345,0.0027762429294498534,0.00388471021050046
maintenance,Air Conditioning Revision,2024-11-05 00:21:33,24,7180,144.61859454342277,3.8150112545341294e-31,0.009826593439126709,0.4168523676880223,-0.06433679270612808,4187.0,23.28085433526321,8.802919169938977e-06,0.005472134946708891
maintenance,Air Conditioning Revision,2024-11-05 00:21:33,48,14357,422.56344950441945,2.8669688686290986e-91,0.016757096901807243,0.39917810127463954,-0.08201105911951084,8626.0,34.13337580719626,3.8728584050175177e-08,0.0066070969879398
maintenance,Air Conditioning Revision,2024-11-05 00:21:33,72,20109,776.9754739186264,4.262075592068697e-168,0.02267921678502401,0.38609577800984635,-0.09509338238430404,12345.0,49.37107414510363,1.9019866599123298e-11,0.00792733081567453
maintenance,4-week-Revision,2024-11-28 01:06:57,24,8030,299.6689830526384,1.173302920952341e-64,0.014141276398214409,0.5778331257783312,0.09664396538418085,3390.0,1.071972105647968,0.5850920739169403,0.001174821266874361
maintenance,4-week-Revision,2024-11-28 01:06:57,48,16266,195.15013261547304,4.709992306962038e-42,0.011380515950178109,0.5357186769949588,0.0545295166008084,7552.0,3.922718216527051,0.14066710911336228,0.002241367580448442
maintenance,4-week-Revision,2024-11-28 01:06:57,72,24478,180.63237533381962,6.440218081537886e-39,0.010919306670384196,0.5240215703897377,0.04283240999558735,11651.0,3.9912224007470605,0.13593054797047346,0.0022549429755722634
maintenance,8-week-Revision,2024-12-29 01:09:05,24,8189,6488.105850823474,0.0,0.0657966281543909,0.9272194407131518,0.4460302803190014,596.0,1.2595106527784767,0.5327221281090628,0.0012757440451882705
maintenance,8-week-Revision,2024-12-29 01:09:05,48,15242,3580.6830859572565,0.0,0.04876498475834282,0.7243143944364256,0.24312523404227526,4202.0,17.771069205582037,0.00013837618506856334,0.004780902992911599
maintenance,8-week-Revision,2024-12-29 01:09:05,72,22387,4150.969805354314,0.0,0.052380781326984586,0.6976816902666726,0.2164925298725222,6768.0,20.367217472165063,3.7784607922545524e-05,0.005109795461263923
maintenance,4-week-Revision,2025-01-17 10:26:47,24,3812,220.60202965328156,1.4879152329902738e-47,0.012150231308884409,0.3620146904512067,-0.11917446994294367,2432.0,3.4827687930939,0.17527757890001847,0.002118899642271932
maintenance,4-week-Revision,2025-01-17 10:26:47,48,10943,503.6705960746035,7.641749196199196e-109,0.018315522306502848,0.3766791556246002,-0.10451000476955019,6821.0,23.6526428979269,7.309604066321015e-06,0.0055063365230017
maintenance,4-week-Revision,2025-01-17 10:26:47,72,18113,714.9873837795537,1.1807492930032784e-154,0.021770113747503275,0.38519295533594655,-0.09599620505820383,11136.0,46.01314230881326,1.019466830598826e-10,0.007658894085696379
